"oxygen tolerance","pH optimum","salinity optimum","temperature optimum","doubling time","genome size","GC content","gene density","proportion free living","biosynthetic clusters","proportion_RS_genomes","Uncultivated"
0,7.26418525943877,2.09190715281238,54.7729357681924,11.747885,1495187.95089229,0.44,1.20785405282304,0,0,0,"Uncultivated"
0,8.07560738873209,2.79509119497334,46.1388011194399,9.457418,1113903.94708462,0.32,1.10483497395383,0,0,0,"Uncultivated"
0,7.09039882817911,3.08890850597389,55.4990643161685,16.36163,1151724.62627852,0.49,1.27199520166794,0,0,0,"Uncultivated"
0,7.01621543258038,3.4883832088324,48.9047253355456,11.117744,1349988.83679393,0.4,1.15147878944863,0,1,0,"Uncultivated"
0,8.00984733966946,2.22671594302193,50.4895726400425,13.62421,939618.333914256,0.51,1.20930422347645,0,0,0,"Uncultivated"
0,7.85684487646812,5.95843428862822,59.6059639069217,12.27745,1785389.46015424,0.47,1.18571697000719,0,0,0,"Uncultivated"
0,6.93216073658253,4.34329145006223,47.2054002402328,9.73293377777778,1776892.86602038,0.63,1.23859332732191,0,1,0,"Uncultivated"
0,7.63598356928135,3.53892235615227,58.7171676506513,16.6419966666667,1644939.58363663,0.43,1.21248702329126,0,0,0,"Uncultivated"
0,7.0139323707868,3.48805222436123,50.5210390954112,10.404665,1050928.23553466,0.37,1.22093802622374,0,0,0,"Uncultivated"
0,6.96197447795173,5.69552056560836,41.0275168479575,6.300178,1970455.51245151,0.37,1.09679275443591,1,0,0,"Uncultivated"
0,6.71409227874281,1.86473337144553,44.5729343013185,16.099525,1428998.99179029,0.485,1.2031026618806,0,0,0,"Uncultivated"
0,7.40396032360981,2.5543769371689,48.8616256416339,13.78602,1257176.28516004,0.45,1.14570183399089,0,0,0,"Uncultivated"
0,7.09115018216463,2.35758460380622,46.9363920626311,12.21891,1971942.06008584,0.48,1.00479727217491,1,0,0,"Uncultivated"
0,8.56555440730397,6.30504021093344,51.1474241741308,15.6527425,1537513.48228043,0.43,1.12381801672757,0,0,0,"Uncultivated"
0,7.52895025042614,3.97583961541732,39.8613445699556,4.582591,1619390.26607673,0.345,1.11842581364212,0,0,0,"Uncultivated"
